his,5.48
his,7.61
his,7.74
his,9.76
his,9.59
his,9.29
his,10.14
his,5.05
his,9.53
his,9.86
his,8.3
his,5.87
his,9.83
his,9.52
his,9.95
his,4.85
his,4.85
his,10.03
his,9.58
his,9.56
his,9.48
his,9.94
his,10.29
malic,7.81
his,9.53
his,8.79
his,9.6
his,20.57
his,19.56
his,5.02
his,8.95
his,10.35
his,9.39
his,11.93
his,9.64
his,9.67
his,10.18
,10.1
,5.25
,8.33
,9.92
,7.84
his,10.56
his,7.96
his,15.11
his,14.71
malic,14.73
his,15.14
his,14.6
his,17.39
his,6.65
his,15.1
his,14.71
his,27.9
his,29.56
his,28.29
his,7.79
his,17.77
his,18.78
his,18.77
his,9.88
his,15.13
his,14.73
his,10.76
malic,33.66
malic,33.74
malic,24.97
his,10.19
malic,33.77
malic,34.3
malic,34.46
his,9.96
his,10.19
his,9.52
his,10.33
his,10.24
his,9.3
his,5.61
his,15.08
his,15.12
his,13.83
his,14.84
his,15.71
his,14.64
his,16.33
his,25.72
his,27.99
his,26.1
his,26.52
his,11.89
his,21.11
his,17.83
his,14.76
his,18.05
his,17.43
his,13.27
his,35.23
his,35.01
his,35.31
his,21.77
his,5.43
his,15.67
his,17.27
his,16.75
his,16.71
his,48.84
his,50.02
his,49.38
malic,13.84
malic,29.14
malic,29.54
malic,29.26
malic,13.26
sugar,47.43
sugar,46.84
sugar,46.22
malic,13.4
malic,25.81
malic,25.98
malic,26.27
malic,12.82
malic,23.94
malic,24.01
malic,24.16
malic,26.17
malic,25.28
malic,12.83
malic,12.9
malic,12.74
malic,23.69
malic,23.83
malic,23.82
malic,12.38
malic,12.52
malic,12.71
malic,13.26
malic,25.85
malic,15.33
malic,27.97
malic,27.99
malic,8.38
malic,31.99
malic,32.38
malic,32.07
malic,16.25
malic,15.57
malic,19.89
his,12.63
his,25.1
his,25.16
malic,14.63
malic,46.8
malic,46.77
malic,46.59
malic,17.16
malic,64.77
malic,66.34
malic,65.09
malic,11.27
malic,19.39
malic,22.03
malic,31.16
malic,22.06
malic,18.14
malic,20.7
