Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000005962,1.0,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000001621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,12,5,12,8,200000007287,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006621,1.0,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000001621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000005462,0.783572339220883,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,0,7,0,0,200000007287,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000006795,1.0,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000001621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000001702,0.8908043906221224,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006795,"CONF,SUGAR MALIC ACID 90% BLEND",Global,ward_euclidean,559800.0,1281381.4537102233,1,0,1,2,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
